Vessel Name,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Label
Vsl. 1,230000,330000,450000,1980000,3710000,7120000,9920000,12000000,10900000,10450000,12290000,11480000,8910000,10290000,8770000,1
Vsl. 10,440000,660000,1470000,5070000,7460000,11500000,10680000,12020000,9410000,9400000,8560000,7720000,4940000,3990000,570000,1
Vsl. 11,880000,970000,2610000,7420000,11070000,15000000,14300000,15050000,14970000,15550000,16570000,12700000,10490000,11160000,12610000,0
Vsl. 12,800000,1150000,2570000,7810000,10740000,14730000,13770000,14830000,11960000,13260000,12350000,10000000,7530000,7960000,4060000,1
Vsl. 13,240000,420000,550000,1800000,3730000,8360000,9410000,11430000,11730000,12770000,12490000,12550000,11470000,11340000,10490000,1
Vsl. 14,180000,200000,570000,1440000,3650000,6290000,6560000,6880000,6600000,7090000,6730000,6150000,4510000,3650000,1790000,1
Vsl. 15,870000,1530000,2760000,7670000,10110000,12440000,12140000,11490000,10550000,10100000,9970000,8490000,5520000,4940000,2460000,1
Vsl. 16,570000,1580000,3310000,7070000,11060000,14180000,13580000,16750000,14530000,13240000,16750000,15410000,11520000,12570000,13230000,0
Vsl. 17,690000,1540000,3310000,6760000,10580000,13480000,12870000,14110000,10970000,11350000,10370000,9800000,8610000,7930000,8200000,1
Vsl. 18,390000,1540000,2760000,6870000,9140000,12880000,11360000,13250000,9740000,10360000,9880000,9940000,5820000,4940000,3070000,1
Vsl. 19,210000,310000,470000,1480000,3630000,7920000,6800000,9070000,8050000,8010000,7930000,7140000,6090000,5550000,4650000,1
Vsl. 2,240000,400000,790000,2220000,4660000,7930000,9030000,10380000,8810000,7910000,7280000,6800000,4090000,3790000,990000,1
Vsl. 20,370000,480000,520000,3950000,7940000,11720000,12750000,13250000,12560000,14170000,12910000,13720000,13590000,11780000,11190000,0
Vsl. 21,390000,480000,500000,4100000,7710000,11670000,11070000,12250000,11270000,11450000,10880000,12700000,8660000,8580000,7290000,1
Vsl. 22,290000,410000,1370000,3970000,7270000,10250000,9500000,9100000,8150000,9380000,8530000,8730000,6400000,4430000,2830000,1
Vsl. 23,460000,1420000,3000000,6820000,10650000,13660000,13280000,14180000,15710000,13850000,13970000,14210000,11860000,12100000,11860000,0
Vsl. 24,500000,1450000,2550000,6160000,10800000,13240000,12120000,11610000,13140000,11550000,10470000,10090000,9070000,7880000,8060000,1
Vsl. 3,970000,1640000,3180000,8140000,10560000,13330000,12620000,14810000,11320000,9040000,8270000,6460000,2810000,600000,530000,1
Vsl. 4,450000,690000,1510000,5530000,8710000,13720000,14030000,17540000,12480000,15460000,14020000,17370000,9880000,12470000,11870000,0
Vsl. 5,410000,700000,1350000,5520000,9090000,11860000,13240000,14440000,12560000,12270000,12000000,12850000,7160000,7660000,6250000,1
Vsl. 6,390000,820000,1430000,4720000,8020000,12440000,11960000,12730000,10640000,9950000,10760000,8680000,5510000,5060000,3490000,1
Vsl. 7,220000,360000,800000,2750000,4490000,8590000,9420000,11590000,9650000,9560000,10200000,9780000,7500000,7470000,5690000,1
Vsl. 8,410000,450000,940000,4710000,7260000,10980000,11290000,13240000,11650000,13140000,12620000,15130000,12040000,10840000,10500000,0
Vsl. 9,440000,450000,1370000,4560000,8390000,12380000,12010000,13460000,10440000,11200000,9670000,8790000,7450000,5670000,3160000,1
