input_Vessel Type,input_Vessel Volume,input_Vessel Name,input_Timepoint (hr),input_Agitation,input_DO,input_pH setpoint,input_Gas flow,input_Air (%),input_O2,input_Temp,input_Media type,input_Feed Type,input_Glucose Limit,output_OD600,output_WCW (g/L),output_Agitation.1,output_Air %,output_D0 %,output_GasFlow,output_O2.1,output_Ph,output_Temp.1,output_Feed %,output_Feed,output_Titre (mg/ml) (Sample 1),output_Titre (mg/ml) Sample 2,output_Average Titre (mg/ml),output_Acetate (mmol/L),output_Glycerol (g/L),output_Phosphate (mmol/L),output_Glucose (g/L)
5L Fermenter,5000ml,Ferm6,0,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,0.30033333333333334,,700.0698852539062,100.0,99.69048309326172,2.5,0.0,6.7647199630737305,29.97,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm6,2,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,0.5976666666666667,,700.36572265625,100.0,94.49817657470703,2.5,0.0,6.84158182144165,29.99,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm6,4,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,2.3533333333333335,,700.4869995117188,100.0,79.74928283691406,2.5,0.0,6.885069847106934,30.0,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm6,6,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,7.293333333333334,67.5,699.942626953125,87.41800689697266,37.4758186340332,2.4799509048461914,12.593660354614258,6.763033866882324,30.04,0.0,0.0,,,,,,,
5L Fermenter,5000ml,Ferm6,8,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,19.566666666666666,,699.6005859375,58.97159957885742,39.72761917114258,2.559998035430908,41.03377151489258,6.76370906829834,30.03,8.55,0.2907,,,,26.6,,18.6,5.8
5L Fermenter,5000ml,Ferm6,10,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,31.933333333333337,,700.2216186523438,34.948970794677734,51.33483123779297,3.1357600688934326,65.07283782958984,6.7441558837890625,30.01,12.7,0.4318,,,,20.9,,12.2,0.67
5L Fermenter,5000ml,Ferm6,12,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,40.333333333333336,,700.35009765625,59.27322006225586,42.5288200378418,2.539789915084839,40.722999572753906,6.796745777130127,30.01,13.33,0.45321999999999996,,,,26.1,,13.3,1.9
5L Fermenter,5000ml,Ferm6,14,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,50.333333333333336,,700.2205810546875,63.731300354003906,20.900720596313477,2.5134050846099854,36.25273132324219,6.759663105010986,30.02,12.53,0.42601999999999995,,,,21.9,,9.6,4.0
5L Fermenter,5000ml,Ferm6,16,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,56.53333333333333,,700.680419921875,33.34029006958008,51.60565948486328,2.6600000858306885,66.51481628417969,6.74921178817749,29.99,12.53,0.42601999999999995,,,,0.0,,5.7,0.0
5L Fermenter,5000ml,Ferm6,18,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,41.96666666666667,,699.9307250976562,64.64585876464844,32.77103042602539,2.503726005554199,35.36214065551758,6.777866840362549,30.01,12.84,0.43656,,,,0.0,,4.7,0.0
5L Fermenter,5000ml,Ferm6,20,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,48.23333333333333,,699.8776245117188,57.7624397277832,31.293039321899414,2.545185089111328,42.30455017089844,6.752583980560303,30.01,14.77,0.50218,,,,0.0,,1.1,0.0
5L Fermenter,5000ml,Ferm6,22,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,54.76666666666667,210.5,699.959716796875,40.048561096191406,46.03419876098633,2.650986909866333,59.854129791259766,6.71044397354126,30.0,16.98,0.5773199999999999,,,,0.0,,0.0,0.0
5L Fermenter,5000ml,Ferm6,24,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,61.199999999999996,220.5,699.9160766601562,29.608530044555664,35.71152114868164,2.9925730228424072,70.42933654785156,6.712130069732666,30.01,19.53,0.66402,,,,,,,
5L Fermenter,5000ml,Ferm6,26,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,,,700.18017578125,33.168399810791016,42.85382843017578,2.8321919441223145,66.85781860351562,6.713140964508057,29.99,19.53,0.66402,,,,8.8,,0.0,1.4
5L Fermenter,5000ml,Ferm6,28,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,80.4,215.5,699.95068359375,44.978981018066406,38.86867904663086,2.5597410202026367,55.02088928222656,6.700331211090088,30.0,19.53,0.66402,,,,,,,
5L Fermenter,5000ml,Ferm6,30,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,,,699.9005737304688,46.97542953491211,42.12643814086914,2.59431791305542,53.022830963134766,6.740109920501709,30.0,14.31,0.48654000000000003,,,,7.9,,,0.007
5L Fermenter,5000ml,Ferm6,32,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,153.0,221.5,700.3134155273438,54.68706130981445,46.83897018432617,2.5686450004577637,45.303619384765625,6.718197822570801,29.98,14.31,0.48654000000000003,,,,,,,
5L Fermenter,5000ml,Ferm6,34,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,,,699.8394775390625,59.51839828491211,47.04790115356445,2.5071849822998047,40.445709228515625,6.746179103851318,29.99,14.31,0.48654000000000003,,,,0.0,,,0.001
5L Fermenter,5000ml,Ferm6,36,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,166.3,225.5,700.19482421875,59.042510986328125,36.90319061279297,2.520116090774536,40.9599494934082,6.721231937408447,30.0,14.31,0.48654000000000003,,,,,,,
5L Fermenter,5000ml,Ferm6,38,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,,,699.9573974609375,60.50851058959961,43.41096878051758,2.5133140087127686,39.48670959472656,6.701679229736328,29.99,14.31,0.48654000000000003,,,,0.0,,,0.001
5L Fermenter,5000ml,Ferm6,40,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,166.0,221.5,699.6322021484375,61.55622863769531,42.42049026489258,2.4908690452575684,38.40668869018555,6.703028202056885,30.0,14.31,0.48654000000000003,,,,,,,
5L Fermenter,5000ml,Ferm6,42,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,,,700.4119262695312,63.74123001098633,41.460960388183594,2.4917099475860596,36.256561279296875,6.697970867156982,30.0,14.31,0.48654000000000003,,,,0.0,,,0.001
5L Fermenter,5000ml,Ferm6,44,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,177.3,260.5,699.9052124023438,65.75250244140625,35.804378509521484,2.4791131019592285,34.25189971923828,6.736064910888672,30.0,14.31,0.48654000000000003,,,,,,,
5L Fermenter,5000ml,Ferm6,46,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,,,699.85498046875,76.01377868652344,38.55915832519531,2.4422860145568848,24.00118064880371,6.752921104431152,29.99,9.96,0.33864000000000005,,,,0.0,,,0.0015
5L Fermenter,5000ml,Ferm6,48,700,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,167.33,207.5,699.7739868164062,66.29501342773438,38.89963912963867,2.503870964050293,33.703651428222656,6.719545841217041,30.01,9.96,0.33864000000000005,1.43,1.45,1.44,1.8,,,0.0012
